iter	Passed	Remaining
564	2136	1645
565	2140	1640
566	2143	1637
567	2147	1633
568	2150	1629
569	2154	1625
570	2157	1621
571	2161	1617
572	2164	1612
573	2167	1608
574	2170	1604
575	2174	1600
576	2177	1596
577	2180	1592
578	2183	1588
579	2187	1583
580	2190	1579
581	2193	1575
582	2197	1571
583	2200	1567
584	2203	1563
585	2207	1559
586	2212	1556
587	2215	1552
588	2219	1548
589	2222	1544
590	2225	1540
591	2229	1536
592	2232	1532
593	2236	1528
594	2239	1524
595	2242	1520
596	2246	1516
597	2249	1512
598	2253	1508
599	2256	1504
600	2260	1500
601	2264	1496
602	2267	1492
603	2271	1489
604	2274	1484
605	2278	1481
606	2282	1477
607	2285	1473
608	2294	1473
609	2297	1468
610	2300	1464
611	2304	1460
612	2307	1456
613	2311	1452
614	2314	1448
615	2317	1444
616	2321	1440
617	2324	1437
618	2328	1432
619	2331	1428
620	2334	1424
621	2337	1420
622	2341	1416
623	2345	1413
624	2349	1409
625	2352	1405
626	2356	1401
627	2359	1397
628	2362	1393
629	2365	1389
630	2369	1385
631	2372	1381
632	2375	1377
633	2379	1373
634	2382	1369
635	2386	1365
636	2389	1361
637	2392	1357
638	2396	1353
639	2399	1349
640	2403	1345
641	2406	1341
642	2409	1337
643	2413	1334
644	2416	1330
645	2419	1326
646	2423	1322
647	2426	1318
648	2429	1314
649	2433	1310
650	2436	1306
651	2440	1302
652	2443	1298
653	2446	1294
654	2449	1290
655	2453	1286
656	2456	1282
657	2463	1280
658	2466	1276
659	2470	1272
660	2473	1268
661	2477	1264
662	2480	1260
663	2483	1256
664	2486	1252
665	2493	1250
666	2496	1246
667	2500	1242
668	2503	1238
669	2506	1234
670	2509	1230
671	2513	1226
672	2516	1222
673	2520	1218
674	2523	1215
675	2526	1211
676	2529	1207
677	2533	1203
678	2536	1199
679	2540	1195
680	2543	1191
681	2546	1187
682	2550	1183
683	2553	1179
684	2557	1175
685	2560	1172
686	2564	1168
687	2567	1164
688	2571	1160
689	2574	1156
690	2577	1152
691	2581	1149
692	2585	1145
693	2588	1141
694	2591	1137
695	2595	1133
696	2599	1129
697	2602	1126
698	2605	1122
699	2609	1118
700	2612	1114
701	2616	1110
702	2619	1106
703	2623	1102
704	2626	1099
705	2630	1095
706	2633	1091
707	2637	1087
708	2641	1084
709	2646	1080
710	2650	1077
711	2656	1074
712	2662	1071
713	2666	1067
714	2670	1064
715	2673	1060
716	2677	1056
717	2680	1052
718	2684	1049
719	2688	1045
720	2692	1041
721	2696	1038
722	2699	1034
723	2706	1031
724	2710	1028
725	2714	1024
726	2717	1020
727	2721	1016
728	2724	1012
729	2727	1008
730	2731	1005
731	2734	1001
732	2737	997
733	2741	993
734	2744	989
735	2747	985
736	2751	981
737	2754	977
738	2757	973
739	2760	969
740	2763	966
741	2767	962
742	2770	958
743	2773	954
744	2776	950
745	2788	949
746	2791	945
747	2795	941
748	2798	937
749	2801	933
750	2804	929
751	2807	926
752	2812	922
753	2815	918
754	2818	914
755	2822	910
756	2825	906
757	2828	903
758	2831	899
759	2834	895
760	2837	891
761	2841	887
762	2844	883
763	2847	879
764	2850	875
765	2853	871
766	2856	867
767	2859	863
768	2862	860
769	2866	856
770	2869	852
771	2872	848
772	2875	844
773	2878	840
774	2881	836
775	2885	832
776	2888	829
777	2891	825
778	2894	821
779	2897	817
780	2901	813
781	2904	809
782	2907	805
783	2910	801
784	2914	798
785	2917	794
786	2920	790
787	2923	786
788	2926	782
789	2929	778
790	2933	775
791	2936	771
792	2939	767
793	2944	763
794	2947	760
795	2951	756
796	2954	752
797	2957	748
798	2960	744
799	2964	741
800	2968	737
801	2971	733
802	2974	729
803	2977	725
804	2981	722
805	2984	718
806	2987	714
807	2990	710
808	2993	706
809	2996	702
810	3000	699
811	3003	695
812	3006	691
813	3009	687
814	3012	683
815	3016	680
816	3019	676
817	3022	672
818	3026	668
819	3029	665
820	3032	661
821	3035	657
822	3039	653
823	3043	649
824	3046	646
825	3049	642
826	3053	638
827	3056	634
828	3061	631
829	3064	627
830	3067	623
831	3071	620
832	3076	616
833	3079	613
834	3083	609
835	3087	605
836	3092	602
837	3096	598
838	3100	594
839	3103	591
840	3109	587
841	3113	584
842	3116	580
843	3120	576
844	3126	573
845	3130	569
846	3133	566
847	3137	562
848	3144	559
849	3147	555
850	3151	551
851	3156	548
852	3160	544
853	3163	540
854	3167	537
855	3173	533
856	3177	530
857	3180	526
858	3183	522
859	3193	519
860	3196	516
861	3200	512
862	3208	509
863	3212	505
864	3215	501
865	3220	498
866	3229	495
867	3233	491
868	3248	489
869	3258	486
870	3263	483
871	3271	480
872	3276	476
873	3280	472
874	3294	470
875	3302	467
876	3306	463
877	3309	459
878	3313	456
879	3320	452
880	3323	448
881	3326	445
882	3329	441
883	3337	438
884	3341	434
885	3345	430
886	3357	427
887	3361	424
888	3369	420
889	3372	416
890	3376	413
891	3379	409
892	3384	405
893	3388	401
894	3391	397
895	3394	393
896	3399	390
897	3403	386
898	3406	382
899	3409	378
900	3413	375
901	3417	371
902	3420	367
903	3423	363
904	3426	359
905	3432	356
906	3435	352
907	3439	348
908	3442	344
909	3447	340
910	3450	337
911	3453	333
912	3456	329
913	3461	325
914	3465	321
915	3468	318
916	3472	314
917	3477	310
918	3481	306
919	3486	303
920	3490	299
921	3497	295
922	3501	292
923	3504	288
924	3510	284
925	3515	280
926	3520	277
927	3524	273
928	3529	269
929	3532	265
930	3535	262
931	3538	258
932	3543	254
933	3546	250
934	3550	246
935	3554	243
936	3560	239
937	3563	235
938	3567	231
939	3570	227
940	3576	224
941	3579	220
942	3583	216
943	3586	212
944	3591	209
945	3594	205
946	3598	201
947	3601	197
948	3605	193
949	3609	189
950	3612	186
951	3615	182
952	3619	178
953	3624	174
954	3627	170
955	3630	167
956	3633	163
957	3638	159
958	3642	155
959	3645	151
960	3648	148
961	3651	144
962	3656	140
963	3659	136
964	3662	132
965	3666	129
966	3672	125
967	3676	121
968	3679	117
969	3683	113
970	3689	110
971	3694	106
972	3698	102
973	3706	98
974	3710	95
975	3713	91
976	3721	87
977	3725	83
978	3728	79
979	3731	76
980	3739	72
981	3742	68
982	3745	64
983	3753	61
984	3756	57
985	3759	53
986	3763	49
987	3769	45
988	3773	41
989	3776	38
990	3779	34
991	3787	30
992	3790	26
993	3793	22
994	3799	19
995	3803	15
996	3806	11
997	3809	7
998	3816	3
999	3820	0
