iter	Logloss
0	0.6711541541
1	0.6493194616
2	0.6316256776
3	0.613444852
4	0.5957530006
5	0.5805941952
6	0.5638241084
7	0.5481850926
8	0.5349021513
9	0.5212332607
10	0.5123809251
11	0.5007474051
12	0.4881705264
13	0.4766363316
14	0.46566161
15	0.4545249236
16	0.448224116
17	0.4374467832
18	0.4286821595
19	0.4189975369
20	0.4106171196
21	0.4028026069
22	0.3961406857
23	0.3887178837
24	0.3809257396
25	0.3725209175
26	0.3660854736
27	0.3617702503
28	0.3559136332
29	0.3491499746
30	0.3438483139
31	0.337818297
32	0.3347056495
33	0.3290779333
34	0.3242486771
35	0.3196701941
36	0.3155747376
37	0.3101095793
38	0.3054255243
39	0.3015999336
40	0.2979079305
41	0.2939693988
42	0.2897651577
43	0.2859296136
44	0.2821747292
45	0.2784520812
46	0.2742650179
47	0.271839476
48	0.2698260734
49	0.2671926324
50	0.2656096037
51	0.2631822499
52	0.2600195564
53	0.2570621629
54	0.2537766749
55	0.2516185111
56	0.2485240374
57	0.2463171649
58	0.2431795779
59	0.2421630039
60	0.2397644221
61	0.237931666
62	0.2352736685
63	0.2336703239
64	0.2314711956
65	0.2299053131
66	0.2276081593
67	0.2257014155
68	0.223463253
69	0.2212174359
70	0.2189534098
71	0.2178903216
72	0.2156308379
73	0.2146269176
74	0.2129912603
75	0.2119375454
76	0.2108169551
77	0.2094356755
78	0.2072154888
79	0.2057741715
80	0.2047799732
81	0.2029008222
82	0.2011806038
83	0.1993529174
84	0.198021336
85	0.1968704714
86	0.1953699105
87	0.1939041268
88	0.1925741141
89	0.1914578026
90	0.190523252
91	0.1897439966
92	0.1886457387
93	0.1871003974
94	0.1859967073
95	0.1850088494
96	0.1837375463
97	0.1826106995
98	0.1815564179
99	0.1801296652
100	0.1789894624
101	0.1780874322
102	0.1771303317
103	0.1760532998
104	0.1753126864
105	0.1743743569
106	0.1735017581
107	0.1727922986
108	0.1717703267
109	0.1710985108
110	0.170410381
111	0.1696358455
112	0.1688291384
113	0.1679635315
114	0.1671228795
115	0.1664536874
116	0.165668665
117	0.1649416352
118	0.1644270314
119	0.1640185641
120	0.1632119015
121	0.1624707987
122	0.1617491061
123	0.1612429527
124	0.1605458712
125	0.1598969863
126	0.1590704909
127	0.1581032251
128	0.1574099408
129	0.1570370888
130	0.1563116649
131	0.1556434929
132	0.1549411604
133	0.1540529553
134	0.1532703462
135	0.1525421315
136	0.1518354197
137	0.1514667362
138	0.1508516252
139	0.1500954881
140	0.1493986278
141	0.1485636337
142	0.148025091
143	0.147669372
144	0.1468509874
145	0.1462136411
146	0.1458216443
147	0.145141658
148	0.1447372186
149	0.1440891802
150	0.1433743437
151	0.1428859507
152	0.1424493314
153	0.1418511018
154	0.1414183121
155	0.1407473814
156	0.1404233763
157	0.1398239415
158	0.1391240152
159	0.1384160832
160	0.138071843
161	0.137769984
162	0.1373827992
163	0.1369413241
164	0.136547718
165	0.1360581023
166	0.135538113
167	0.1351279619
168	0.1347240306
169	0.1343487355
170	0.1339521263
171	0.1335050516
172	0.1330057461
173	0.1326127814
174	0.1321004418
175	0.1317023514
176	0.1312230057
177	0.1309258662
178	0.1305963255
179	0.1301277764
180	0.1296875357
181	0.1294641614
182	0.1291478836
183	0.1287583549
184	0.1283858963
185	0.1280005505
186	0.1276666923
187	0.1273364573
188	0.1268936841
189	0.1263826978
190	0.1260009077
191	0.1257313715
192	0.1254459655
193	0.1250541695
194	0.1247417037
195	0.1243183602
196	0.1239528324
197	0.1235436694
198	0.1231274298
199	0.1227073883
200	0.1223845805
201	0.1221802023
202	0.1217051395
203	0.1214687249
204	0.1209616892
205	0.1205043705
206	0.1199949987
207	0.1196955655
208	0.1194338639
209	0.119102565
210	0.1187017371
211	0.1182844597
212	0.1180606633
213	0.1178321204
214	0.1174778554
215	0.1172817935
216	0.1169797961
217	0.1165067173
218	0.116328645
219	0.11611419
220	0.1156973605
221	0.1154059881
222	0.1150411765
223	0.1146826741
224	0.1142290103
225	0.1139272257
226	0.1136395289
227	0.1134259687
228	0.1131862976
229	0.1128615773
230	0.1126431565
231	0.1122343995
232	0.1119407626
233	0.1116505735
234	0.1114203421
235	0.1111596438
236	0.1109133583
237	0.1105681288
238	0.1102570594
239	0.1098964704
240	0.1096099186
241	0.1093358121
242	0.1090787452
243	0.1087746446
244	0.1086014852
245	0.1083230956
246	0.1081392925
247	0.1077934293
248	0.1076232854
249	0.1074618521
250	0.1072711944
251	0.1070851762
252	0.1068581292
253	0.1065254728
254	0.1063698153
255	0.1061674741
256	0.1060187025
257	0.1057749049
258	0.105534637
259	0.1052947046
260	0.1049689799
261	0.1047787297
262	0.1046346448
263	0.104318728
264	0.103930118
265	0.1037468746
266	0.1034935038
267	0.1032871627
268	0.1031079826
269	0.1028707806
270	0.1027603542
271	0.1025377518
272	0.1022828325
273	0.1020145399
274	0.1017481938
275	0.101591035
276	0.1013161761
277	0.1010423607
278	0.1008389597
279	0.1005672936
280	0.1002835212
281	0.1001255054
282	0.1000187011
283	0.09977677292
284	0.09974923631
285	0.09955198366
286	0.09932738193
287	0.09902219427
288	0.09871317228
289	0.09843173172
290	0.09815554434
291	0.09788961239
292	0.09762780584
293	0.09741176955
294	0.09721246517
295	0.09698514225
296	0.09674216637
297	0.09649866348
298	0.09627296413
299	0.09613031173
300	0.09584510568
301	0.09557745423
302	0.09533220155
303	0.09504926912
304	0.09489689032
305	0.09467222747
306	0.09454591953
307	0.09437712176
308	0.09418016711
309	0.09396596648
310	0.09375320162
311	0.09359932256
312	0.09344948759
313	0.09320962257
314	0.09308154195
315	0.09284976472
316	0.0926501809
317	0.09251079996
318	0.09219963676
319	0.0919126373
320	0.09165075716
321	0.09147327732
322	0.09130281211
323	0.09110427899
324	0.09086964826
325	0.09070610315
326	0.09055200416
327	0.09030111178
328	0.09003450829
329	0.08995984801
330	0.08975556258
331	0.08961226047
332	0.08936381929
333	0.08917641535
334	0.08900626328
335	0.08889250113
336	0.088662706
337	0.08839518113
338	0.08812912947
339	0.08788253743
340	0.08774525269
341	0.08757660437
342	0.08748327249
343	0.08731692525
344	0.08720907318
345	0.08706564746
346	0.08681444865
347	0.08667369463
348	0.08651410827
349	0.08636776462
350	0.08613250785
351	0.08594945068
352	0.08587375772
353	0.0857086196
354	0.08550044289
355	0.08537236684
356	0.08522275908
357	0.08513108341
358	0.08500170424
359	0.08477033416
360	0.08470638578
361	0.08449946646
362	0.0843632721
363	0.08422716631
364	0.08410608132
365	0.08393722709
366	0.08374709269
367	0.08362162392
368	0.08346304403
369	0.08333391952
370	0.08319318773
371	0.0830236322
372	0.08282796896
373	0.08269537837
374	0.08257238243
375	0.0824146427
376	0.08226313285
377	0.08204708823
378	0.08195778209
379	0.0818230525
